feedback,sentiment,topic,split,feedback_sach,ten_cam_xuc,ten_chu_de,so_tu
"nhiệt tình giảng dạy , gần gũi với sinh viên .",1,0,train,nhiệt tình giảng dạy gần gũi với sinh viên,Tích cực,Giảng viên,9
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0,train,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy,Tiêu cực,Giảng viên,17
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",1,0,train,thầy giảng bài hay có nhiều bài tập ví dụ ngay trên lớp,Tích cực,Giảng viên,13
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",1,0,train,giảng viên đảm bảo thời gian lên lớp tích cực trả lời câu hỏi của sinh viên thường xuyên đặt câu hỏi cho sinh viên,Tích cực,Giảng viên,25
thầy rất tận tình và đi dạy rất đúng giờ .,1,0,train,thầy rất tận tình và đi dạy rất đúng giờ,Tích cực,Giảng viên,10
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",2,0,train,đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng thầy wzjwz209 dạy thay,Trung lập,Giảng viên,14
"nhiệt tình , vui vẻ .",1,0,train,nhiệt tình vui vẻ,Tích cực,Giảng viên,4
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,1,0,train,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập,Tích cực,Giảng viên,12
phong cách giảng bài của thầy rất gần gũi với sinh viên !,1,0,train,phong cách giảng bài của thầy rất gần gũi với sinh viên,Tích cực,Giảng viên,12
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,1,0,train,giảng dạy kết hợp các hoạt động giải trí có hiệu quả,Tích cực,Giảng viên,12
tiết học thoải mái .,1,0,train,tiết học thoải mái,Tích cực,Giảng viên,4
"thầy nhiệt tình , quan tâm tới sinh viên .",1,0,train,thầy nhiệt tình quan tâm tới sinh viên,Tích cực,Giảng viên,8
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",1,0,train,giảng dạy nhiệt tình hướng dẫn chi tiết đến lúc sinh viên hiểu,Tích cực,Giảng viên,13
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,0,train,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên,Tiêu cực,Giảng viên,39
