feedback,sentiment,topic,split,feedback_sach,ten_cam_xuc,ten_chu_de,so_tu
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",2,3,train,em sẽ nợ môn này nhưng em sẽ học lại ở các học kỳ kế tiếp,Trung lập,Khác,16
dễ bị áp lực .,0,3,train,dễ bị áp lực,Tiêu cực,Khác,4
hài lòng về tất cả .,1,3,train,hài lòng về tất cả,Tích cực,Khác,5
"chúc các thầy cô , anh chị làm việc vui vẻ !",1,3,train,chúc các thầy cô anh chị làm việc vui vẻ,Tích cực,Khác,10
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,3,train,cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn,Tiêu cực,Khác,13
đề thi môn dài sinh viên làm không đủ thời gian .,0,3,train,đề thi môn dài sinh viên làm không đủ thời gian,Tiêu cực,Khác,11
nghiên cứu khoa học .,2,3,train,nghiên cứu khoa học,Trung lập,Khác,4
chỉ thông báo trên lớp sẽ khó tránh sai sót .,0,3,train,chỉ thông báo trên lớp sẽ khó tránh sai sót,Tiêu cực,Khác,10
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,0,3,train,bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30 còn thực sự hiểu môn học thì rất ít người hiểu,Tiêu cực,Khác,29
không thực hành được buổi nào .,0,3,train,không thực hành được buổi nào,Tiêu cực,Khác,6
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",2,3,train,ví dụ đề tài của em là doubledot các nguyên lý cơ bản bao gồm 7 nguyên tắc của bohm 1983,Trung lập,Khác,21
không !,2,3,train,không,Trung lập,Khác,1
nói chung là nghe không bao giờ nghe rõ được .,0,3,train,nói chung là nghe không bao giờ nghe rõ được,Tiêu cực,Khác,10
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",1,3,train,có kiến thức nền tảng này sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng cũng như tiếp thu thay đổi công nghệ mới nhanh chóng,Tích cực,Khác,33
chưa nhận được gì từ môn học này .,0,3,train,chưa nhận được gì từ môn học này,Tiêu cực,Khác,8
em xin cảm ơn .,1,3,train,em xin cảm ơn,Tích cực,Khác,4
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",0,3,train,chúng em đã gặp khó khắn với khổ giấy nhỏ mô hình thì lớn và phức tạp,Tiêu cực,Khác,17
"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",0,3,train,nếu em buồn ngủ dù lên lớp em vẫn sẽ ngủ mà ngủ ở trên lớp thì đau lưng và tê chân lắm,Tiêu cực,Khác,23
cơ mà em học môn này em hiểu colonlove .,1,3,train,cơ mà em học môn này em hiểu colonlove,Tích cực,Khác,9
không có gì đặc biệt .,2,3,train,không có gì đặc biệt,Trung lập,Khác,5
"nói chuyện lan man , không liên quan đến môn học quá nhiều .",0,3,train,nói chuyện lan man không liên quan đến môn học quá nhiều,Tiêu cực,Khác,12
làm bài tập .,2,3,train,làm bài tập,Trung lập,Khác,3
điểm .,2,3,train,điểm,Trung lập,Khác,1
sự thân thiện và tận tình đối với học viên .,1,3,train,sự thân thiện và tận tình đối với học viên,Tích cực,Khác,10
nhằm giảm thời lượng giảng dạy cũng như sự thú vị khi học môn toán .,0,3,train,nhằm giảm thời lượng giảng dạy cũng như sự thú vị khi học môn toán,Tiêu cực,Khác,15
"chú ý giữ sức khỏe , nhất là cổ họng colonsmile .",0,3,train,chú ý giữ sức khỏe nhất là cổ họng colonsmile,Tiêu cực,Khác,10
kể chuyện hay .,1,3,train,kể chuyện hay,Tích cực,Khác,3
em xin lỗi nhưng đó là sự thật !,0,3,train,em xin lỗi nhưng đó là sự thật,Tiêu cực,Khác,8
"đó là tiền của họ , họ muốn dùng thì tùy họ , người khác nghèo không phải lỗi của họ , chưa kể tiền thuế họ đóng góp cho nước cũng đủ để gọi là xây dựng rồi .",0,3,train,đó là tiền của họ họ muốn dùng thì tùy họ người khác nghèo không phải lỗi của họ chưa kể tiền thuế họ đóng góp cho nước cũng đủ để gọi là xây dựng rồi,Tiêu cực,Khác,36
nên tổ chức thêm những buổi hội thảo liên quan đến nội dung môn học .,0,3,train,nên tổ chức thêm những buổi hội thảo liên quan đến nội dung môn học,Tiêu cực,Khác,15
điện thoại không liên lạc được .,0,3,train,điện thoại không liên lạc được,Tiêu cực,Khác,6
giúp sinh viên cảm thấy thoải mái trong giờ học .,1,3,train,giúp sinh viên cảm thấy thoải mái trong giờ học,Tích cực,Khác,10
thì có thể lướt nhanh hơn vì phần này khá dễ .,0,3,train,thì có thể lướt nhanh hơn vì phần này khá dễ,Tiêu cực,Khác,11
dễ học dễ hiểu .,1,3,train,dễ học dễ hiểu,Tích cực,Khác,4
nope .,2,3,train,nope,Trung lập,Khác,1
không thực tế .,0,3,train,không thực tế,Tiêu cực,Khác,3
đây là điều gây bức xúc với sinh viên .,0,3,train,đây là điều gây bức xúc với sinh viên,Tiêu cực,Khác,9
khó hiểu ạ .,0,3,train,khó hiểu ạ,Tiêu cực,Khác,3
chưa ổn .,0,3,train,chưa ổn,Tiêu cực,Khác,2
thân .,2,3,train,thân,Trung lập,Khác,1
"khó hiểu , không sinh động .",0,3,train,khó hiểu không sinh động,Tiêu cực,Khác,5
"thưa , không có ạ .",2,3,train,thưa không có ạ,Trung lập,Khác,4
giúp em hiểu ra được nhiều cái hay .,1,3,train,giúp em hiểu ra được nhiều cái hay,Tích cực,Khác,8
có sai nhận sai và sửa đổi khắc phục .,0,3,train,có sai nhận sai và sửa đổi khắc phục,Tiêu cực,Khác,9
không có ý kiến nhiều .,2,3,train,không có ý kiến nhiều,Trung lập,Khác,5
không có .,2,3,train,không có,Trung lập,Khác,2
em không có ý kiến về mục này ạ .,2,3,train,em không có ý kiến về mục này ạ,Trung lập,Khác,9
giúp chúng em học tập tốt hơn .,1,3,train,giúp chúng em học tập tốt hơn,Tích cực,Khác,7
có một bạn trong phòng của em học thầy ở học kỳ trước hâm mộ thầy !,1,3,train,có một bạn trong phòng của em học thầy ở học kỳ trước hâm mộ thầy,Tích cực,Khác,16
thân mến .,2,3,train,thân mến,Trung lập,Khác,2
