feedback,sentiment,topic,split,feedback_sach,ten_cam_xuc,ten_chu_de,so_tu
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0,2,train,cần nâng cấp hệ thống wifi vì khi vào phòng thực hành sinh viên không thể truy cập internet buộc phải xin phép ra ngoài để làm bài,Tiêu cực,Cơ sở vật chất,28
"cần có một phòng máy tốt hơn , hiện đại hơn .",0,2,train,cần có một phòng máy tốt hơn hiện đại hơn,Tiêu cực,Cơ sở vật chất,10
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,0,2,train,cải thiện lại cơ sở vật chất máy chiếu trong phòng học,Tiêu cực,Cơ sở vật chất,12
mong ban thiết bị sớm khắc phục ạ !,0,2,train,mong ban thiết bị sớm khắc phục ạ,Tiêu cực,Cơ sở vật chất,8
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,0,2,train,theo em thì nên thi phòng máy nào có visual 2013 trở lên,Tiêu cực,Cơ sở vật chất,13
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,0,2,train,cung cấp thêm trang thiết bị phục vụ nhu cầu môn học,Tiêu cực,Cơ sở vật chất,12
đề nghị nâng cấp phòng lab khoa mạng .,0,2,train,đề nghị nâng cấp phòng lab khoa mạng,Tiêu cực,Cơ sở vật chất,8
đề nghị lắp thêm quạt .,0,2,train,đề nghị lắp thêm quạt,Tiêu cực,Cơ sở vật chất,5
máy tính cập nhật nhanh hơn .,0,2,train,máy tính cập nhật nhanh hơn,Tiêu cực,Cơ sở vật chất,6
cần cải tiến trang thiết thực hành .,0,2,train,cần cải tiến trang thiết thực hành,Tiêu cực,Cơ sở vật chất,7
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,0,2,train,hỗ trợ thêm giáo trình không phải slide cho sinh viên,Tiêu cực,Cơ sở vật chất,11
cần thêm nhiều kit để thực hành .,0,2,train,cần thêm nhiều kit để thực hành,Tiêu cực,Cơ sở vật chất,7
hỗ trợ thêm về các thiết bị dạy và học .,0,2,train,hỗ trợ thêm về các thiết bị dạy và học,Tiêu cực,Cơ sở vật chất,10
"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",0,2,train,cơ sở vật chất phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên máy còn tiềm ẩn nhiều virus,Tiêu cực,Cơ sở vật chất,26
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,0,2,train,phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn,Tiêu cực,Cơ sở vật chất,15
thiếu kinh nghiệm truyền đạt .,0,2,train,thiếu kinh nghiệm truyền đạt,Tiêu cực,Cơ sở vật chất,5
phòng thực hành tốt .,1,2,train,phòng thực hành tốt,Tích cực,Cơ sở vật chất,4
thêm phòng thiết bị để thực hành .,0,2,train,thêm phòng thiết bị để thực hành,Tiêu cực,Cơ sở vật chất,7
"phòng học cần lắp thêm quạt và ổ cắm vì sinh viên phải sử dụng laptop để làm bài tập , cần có thêm màn che cửa sổ để có thể theo dõi bài giảng trên slide tốt hơn .",0,2,train,phòng học cần lắp thêm quạt và ổ cắm vì sinh viên phải sử dụng laptop để làm bài tập cần có thêm màn che cửa sổ để có thể theo dõi bài giảng trên slide tốt hơn,Tiêu cực,Cơ sở vật chất,38
"micro và các thiết bị âm thanh , máy chiếu cần nâng cấp .",0,2,train,micro và các thiết bị âm thanh máy chiếu cần nâng cấp,Tiêu cực,Cơ sở vật chất,12
chất lượng phòng máy rất tệ .,0,2,train,chất lượng phòng máy rất tệ,Tiêu cực,Cơ sở vật chất,6
máy ở phòng thực hành quá tệ .,0,2,train,máy ở phòng thực hành quá tệ,Tiêu cực,Cơ sở vật chất,7
"cần nâng cấp máy tính trong phòng thực hành , nhiều kit de2 bị lỗi cần sửa chữa hoặc thay mới .",0,2,train,cần nâng cấp máy tính trong phòng thực hành nhiều kit de2 bị lỗi cần sửa chữa hoặc thay mới,Tiêu cực,Cơ sở vật chất,20
"phòng lab chán lắm , hư hỏng hết cả .",0,2,train,phòng lab chán lắm hư hỏng hết cả,Tiêu cực,Cơ sở vật chất,8
bàn ghế còn bụi .,0,2,train,bàn ghế còn bụi,Tiêu cực,Cơ sở vật chất,4
phòng thực hành nên nâng cấp máy tính .,0,2,train,phòng thực hành nên nâng cấp máy tính,Tiêu cực,Cơ sở vật chất,8
cải thiện chất lượng phòng máy thực hành .,0,2,train,cải thiện chất lượng phòng máy thực hành,Tiêu cực,Cơ sở vật chất,8
cần nâng cao chất lượng trang thiết bị .,0,2,train,cần nâng cao chất lượng trang thiết bị,Tiêu cực,Cơ sở vật chất,8
"đầu tư các thiết bị cho sinh viên mượn , như điện thoại android , windows phone .",0,2,train,đầu tư các thiết bị cho sinh viên mượn như điện thoại android windows phone,Tiêu cực,Cơ sở vật chất,15
nên trang bị trang thiết bị cho phòng thực hành và phòng lab để sinh viên có thể thực hành và học trực tiếp trên thiết bị thật .,0,2,train,nên trang bị trang thiết bị cho phòng thực hành và phòng lab để sinh viên có thể thực hành và học trực tiếp trên thiết bị thật,Tiêu cực,Cơ sở vật chất,28
chất lượng phòng máy kém .,0,2,train,chất lượng phòng máy kém,Tiêu cực,Cơ sở vật chất,5
thiếu thiết bị thật để thực hành .,0,2,train,thiếu thiết bị thật để thực hành,Tiêu cực,Cơ sở vật chất,7
"em nghĩ cơ sở vật chất vẫn còn yếu kém , ngồi xa không thể nhìn rõ được slide bài giảng của cô giáo , phòng học rất nóng .",0,2,train,em nghĩ cơ sở vật chất vẫn còn yếu kém ngồi xa không thể nhìn rõ được slide bài giảng của cô giáo phòng học rất nóng,Tiêu cực,Cơ sở vật chất,27
"cần có các thiết bị di động thật để sinh viên thực hành khi cần thiết , vì các chương trình mô phỏng trên máy tính là không đầy đủ .",0,2,train,cần có các thiết bị di động thật để sinh viên thực hành khi cần thiết vì các chương trình mô phỏng trên máy tính là không đầy đủ,Tiêu cực,Cơ sở vật chất,29
cần chú trọng hơn vấn đề học thực hành phòng máy không đáp ứng yêu cầu doubledot không có trình biên dịch giáo viên thực hành không sử dụng hiệu quả giờ thực hành .,0,2,train,cần chú trọng hơn vấn đề học thực hành phòng máy không đáp ứng yêu cầu doubledot không có trình biên dịch giáo viên thực hành không sử dụng hiệu quả giờ thực hành,Tiêu cực,Cơ sở vật chất,34
"em học ở phòng mà bên cạnh là công trình đang thi công , khá là ồn ào , vì thế khi học đến phần nghe , em không thể nghe được gì , và bài nghe bị gián đoạn .",0,2,train,em học ở phòng mà bên cạnh là công trình đang thi công khá là ồn ào vì thế khi học đến phần nghe em không thể nghe được gì và bài nghe bị gián đoạn,Tiêu cực,Cơ sở vật chất,36
cần kết nối được mạng trong phòng lab .,0,2,train,cần kết nối được mạng trong phòng lab,Tiêu cực,Cơ sở vật chất,8
phòng học ồn do cạnh khu xây dựng .,0,2,train,phòng học ồn do cạnh khu xây dựng,Tiêu cực,Cơ sở vật chất,8
"học trong phòng chất lượng cao hơn , phòng học hiện tại không có máy lạnh .",0,2,train,học trong phòng chất lượng cao hơn phòng học hiện tại không có máy lạnh,Tiêu cực,Cơ sở vật chất,15
máy chiếu chưa rõ nét cho toàn thẻ sinh viên trong phòng .,0,2,train,máy chiếu chưa rõ nét cho toàn thẻ sinh viên trong phòng,Tiêu cực,Cơ sở vật chất,12
