feedback,sentiment,topic,split,feedback_sach,ten_cam_xuc,ten_chu_de,so_tu
slide giáo trình đầy đủ .,1,1,train,slide giáo trình đầy đủ,Tích cực,Chương trình,5
đi học đầy đủ full điểm chuyên cần .,0,1,train,đi học đầy đủ full điểm chuyên cần,Tiêu cực,Chương trình,8
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,1,train,thời lượng học quá dài không đảm bảo tiếp thu hiệu quả,Tiêu cực,Chương trình,12
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,1,train,nội dung môn học có phần thiếu trọng tâm hầu như là chung chung khái quát khiến sinh viên rất khó nắm được nội dung môn học,Tiêu cực,Chương trình,27
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,1,train,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide,Tiêu cực,Chương trình,15
môn học còn dễ cần nâng độ khó lên nữa .,0,1,train,môn học còn dễ cần nâng độ khó lên nữa,Tiêu cực,Chương trình,10
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,1,train,có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc để giúp hiểu rõ hơn vê ngành mình đang học,Tiêu cực,Chương trình,28
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,1,train,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học,Tiêu cực,Chương trình,26
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,1,train,chưa có nhiều tiết làm bài tập chữa bài tập trên lớp,Tiêu cực,Chương trình,12
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,1,1,train,tài liệu được bổ sung nhiều và đầy đủ trên moodle,Tích cực,Chương trình,11
nên biên soạn một tài liệu của chính trường ta .,0,1,train,nên biên soạn một tài liệu của chính trường ta,Tiêu cực,Chương trình,10
"bài tập đa dạng , cụ thể .",1,1,train,bài tập đa dạng cụ thể,Tích cực,Chương trình,6
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,1,train,nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế đề nghị có sự thay đổi trong những năm học tới,Tiêu cực,Chương trình,34
slide up đầy đủ trước mỗi buổi học .,1,1,train,slide up đầy đủ trước mỗi buổi học,Tích cực,Chương trình,8
"nội dung giảng dạy quá nhàm chán , khô khan .",0,1,train,nội dung giảng dạy quá nhàm chán khô khan,Tiêu cực,Chương trình,9
lượng kiến thức quá nhiều trong một học kỳ .,0,1,train,lượng kiến thức quá nhiều trong một học kỳ,Tiêu cực,Chương trình,9
